row,out_of_sample,symbol,catalyst,origin,event_ref,headline,available_at,decision_date,entry_date,entry_price,exit_date,exit_reason,sessions,sentiment_model,sentiment_pos,sentiment_neg,rule_score,skip_reason,model_prob,model_weight,model_confidence,timesfm_expected_pct,timesfm_low_pct,timesfm_high_pct,timesfm_feature_delta,in_rules,in_naive_all_events,in_rules_plus_model,tfm_compared,in_rules_without_timesfm,in_timesfm_filter,in_timesfm_feature,cost_pct,trade_return_pct,spy_return_pct,sector,market_cap_usd,cap_bucket,catalyst_price,move_at_decision_pct,move_at_fill_pct,gap_at_fill_pct,hold1_pct,hold3_pct,hold5_pct,hold10_pct,spy_hold1_pct,spy_hold3_pct,spy_hold5_pct,spy_hold10_pct
0,0,TGTX,guidance_raise,filing,0001437749-24-024718,8-K: TG Therapeutics Reports Second Quarter 2024 Financial Results and Raises BRIUMVI® (ublituximab-xiiy) Full Year Revenue Guidance,2024-08-06T11:08:39+00:00,2024-08-06,2024-08-07,21.4,2024-08-20,target,9,finbert,0.933,0.013,87.6,priced_in,,,,,,,,0,0,0,0,0,0,0,0.2,17.416822429906563,5.605438340870816,Health care,3180493808,Mid ($2-10B),17.21,19.582,24.346,3.984,-6.788785046728973,-7.115887850467273,-0.9943925233644733,15.267289719626188,-2.0563021552784555,0.6552992601282839,2.3677900353851644,5.520286865858037
1,0,PLTR,guidance_raise,filing,0001321655-24-000133,8-K: Palantir Reports Revenue Growth of 27% Year-Over-Year and Raises Full Year Revenue Guidance; Record GAAP EPS of $0.06 in Q2 2024,2024-08-05T20:08:01+00:00,2024-08-06,2024-08-07,27.07,2024-08-12,target,3,finbert,0.955,0.018,93.8,priced_in,,,,,,,,0,0,0,0,0,0,0,0.2,11.436497968230519,0.8861543701629284,Technology,59506798010,Large (>= $10B),24.09,10.378,12.37,1.805,-2.970594754340594,10.660731437015158,12.064499445881061,19.194163280384192,-2.0563021552784555,0.6552992601282839,2.3677900353851644,5.520286865858037
2,0,INTC,insider_buy_cluster,filing,0001127602-24-021794,1 insider(s) bought $252K of INTC (Form 4),2024-08-07T20:23:22+00:00,2024-08-08,2024-08-09,20.08,2024-08-23,time_stop,10,,,,71.2,,,,,,,,,0,0,0,0,0,0,0,0.2,0.9952191235059751,5.4095581434854045,Technology,87615240000,Large (>= $10B),18.99,7.899,5.74,-2.001,-2.0426294820717006,1.7422310756972206,2.8378486055776975,-0.10039840637447989,0.4002151714765702,2.1083747003642905,4.190253109605346,4.784805873803832
3,0,MRK,fda_approval,fda,BLA125514:20240807,FDA new indication: KEYTRUDA,2024-08-07T20:15:00+00:00,2024-08-08,2024-08-09,113.78,2024-08-23,time_stop,10,,,,82.0,,,,,,,,,0,0,0,0,0,0,0,0.2,2.4542450342766697,5.4095581434854045,Health care,288765476823,Large (>= $10B),112.49,1.271,1.147,-0.123,0.4767445948321349,0.33612234136051206,-0.6130778695728643,2.234522763227287,0.4002151714765702,2.1083747003642905,4.190253109605346,4.784805873803832
4,0,RKLB,earnings_beat,filing,0000950170-24-094034,"8-K: Rocket Lab Announces Second Quarter 2024 Financial Results, Posts Record Revenue on 71% Year-on-Year Growth",2024-08-08T20:19:00+00:00,2024-08-09,2024-08-12,5.41,2024-08-19,target,5,finbert,0.949,0.018,85.2,priced_in,,,,,,,,0,0,0,0,0,0,0,0.5,24.82347504621073,3.641186050429601,Industrials,2666957579,Mid ($2-10B),4.77,12.579,13.417,0.745,-0.8696857670979714,-4.751386321626627,20.756931608133065,28.15064695009241,-0.37596076449337695,1.5858145673049775,3.562565283315533,5.026409090058204
5,0,INCY,fda_approval,fda,BLA761411:20240814,FDA approval: NIKTIMVO,2024-08-14T20:15:00+00:00,2024-08-15,2024-08-16,61.88,2024-08-28,target,8,,,,85.8,,,,,2.4386,-5.7269,9.68,,0,0,0,0,0,0,0,0.2,5.6823529411764495,1.5754161981792694,Health care,,Unknown,61.18,0.817,1.144,0.324,0.2524886877828038,3.8400775694893197,1.64227537168713,6.312605042016806,0.3241014109027553,1.120227775561289,0.6704798520184465,1.0567552863516074
6,0,GILD,fda_approval,fda,NDA217899:20240814,FDA approval: LIVDELZI,2024-08-14T20:15:00+00:00,2024-08-15,2024-08-16,73.94,2024-08-29,target,9,,,,85.8,,,,,-0.2957,-6.4985,6.153,,0,0,0,0,0,0,0,0.2,6.548715174465802,1.4122012259257801,Health care,92552711302,Large (>= $10B),74.14,0.27,-0.27,-0.538,-0.4163916689207457,0.8954828239112758,2.4507979442791594,7.2519880984582175,0.3241014109027553,1.120227775561289,0.6704798520184465,1.0567552863516074
7,0,SRPT,insider_buy_cluster,filing,0000950170-24-098859,"1 insider(s) bought $4,956K of SRPT (Form 4)",2024-08-20T12:00:04+00:00,2024-08-20,2024-08-21,141.25,2024-09-05,time_stop,10,,,,76.1,,,,,-5.2394,-10.1536,-0.5253,,0,0,0,0,0,0,0,0.2,-4.738053097345129,-1.7863658288225557,Health care,13398016264,Large (>= $10B),137.28,2.338,2.892,0.541,1.3575221238937953,-0.6884955752212372,-0.6247787610619391,-4.773451327433631,-0.04815191953837489,0.22160172928167315,0.11977419297211095,-1.7756471407899597
8,0,AMGN,fda_approval,fda,BLA761024:20240820,FDA new indication: AMJEVITA,2024-08-20T20:15:00+00:00,2024-08-21,2024-08-22,329.5,2024-09-06,time_stop,10,,,,82.0,,,,,-0.5103,-4.3962,2.1223,,0,0,0,0,0,0,0,0.2,-1.6567526555386956,-2.4433162684868948,Health care,176861912763,Large (>= $10B),328.55,0.183,0.289,0.106,-1.7083459787556985,-1.025493171471936,-0.20303490136570607,-1.7599393019726792,-1.3269908987485588,-0.5146331058020424,-0.9572525597269619,-2.501976678043216
9,0,AMGN,fda_approval,fda,BLA761298:20240823,FDA approval: PAVBLU,2024-08-23T20:15:00+00:00,2024-08-26,2024-08-27,328.42,2024-09-11,time_stop,10,,,,67.8,,,,,-0.1177,-3.7678,2.5174,,0,0,0,0,0,0,0,0.2,-0.3857377748005651,-2.128542065094996,Health care,175588442512,Large (>= $10B),328.8,-0.614,-0.116,0.502,-0.6536873515620265,0.5886243225138534,0.43638024480847654,-0.04471104074050808,0.1699798030349033,-0.40375699297574547,-1.5244204543423454,-2.1124559867021886
